song,artist
Oo-De-Lally,Roger Miller
All You Need Is Love,The Beatles
Forever Young,Rod Stewart
Greensleeves,Traditional
The Power of Love,Gabrielle Aplin
Any Way You Want It,Journey
Baba O'Riley,The Who
Hold On Tight,Electric Light Orchestra
22,Taylor Swift
Hero,Mariah Carey
"Food, Glorious Food",Cast of Oliver!
Iron Man,Black Sabbath
Such Great Heights,The Postal Service
I Drove All Night,Roy Orbison
The Ones That Like Me,Brantley Gilbert
These Boots Are Made For Walkin',Nancy Sinatra
Take Me to Church,Hozier
The Snake,Al Wilson
Connection,OneRepublic
It's Time To Party,Andrew W.K.
Smoke on the Water,Deep Purple
Secrets,OneRepublic
Wonderfilled Anthem,Owl City
Theme From Mission: Impossible,Lalo Schifrin
She's A Rainbow,The Rolling Stones
Physical,Olivia Newton-John
Life Is a Highway,Tom Cochrane
Respect,Aretha Franklin
I Love It,Icona Pop
I Can See Clearly Now,Johnny Nash
Love Is Here to Stay,Gene Kelly
Get Together,The Youngbloods
Surfin' Bird,The Trashmen
Civilization,Justice
Tell The World,Eric Hutchinson
Let Me Go,Gary Barlow
We Like To Party (The Vengabus),Vengaboys
The Payback,James Brown
Holiday,Vampire Weekend
Reach Out of the Darkness,Friend & Lover
Express Yourself,Madonna
We Are The Champions,Queen
Modern Love,David Bowie
Like A Prayer,Madonna
Give It To Me,J. Geils Band
Venus In Furs,The Velvet Underground
Jerk It Out,Caesars
Instant Karma,John Lennon
Live Your Life,Mika
Season 2 Episode 3,Glass Animals
Lollipop,The Chordettes
Takin' Care Of Business,Bachman-Turner Overdrive
Thunderstruck,AC/DC
Vida 23,Pitbull
Gimme Some Lovin',The Spencer Davis Group
Total Eclipse Of The Heart,Bonnie Tyler
Wing$,Macklemore & Ryan Lewis
Kickstart My Heart,Mötley Crüe
HandClap,Fitz and the Tantrums
Riptide,Vance Joy
"If You Want To Sing Out, Sing Out",Cat Stevens
That's The Way (I Like It),KC & The Sunshine Band
Oh My Love,The Score
Can't Stop Loving You,Phil Collins
88 Lines About 44 Women,The Nails
Savior,Iggy Azalea
Spirit In The Sky,Norman Greenbaum
Louder,DJ Fresh
Girls,Sugababes
The Gambler,Kenny Rogers
Rock N' Roll Ain't Noise Pollution,AC/DC
Anticipation,Carly Simon
For Your Love,The Yardbirds
Blow Your Mind (Mwah),Dua Lipa
Soak Up The Sun,Sheryl Crow
Jealous,Beyoncé
Perfect Day,Lou Reed
The Blood That Moves the Body,a-ha
I Am,Awolnation
Oye Como Va,Santana
Citizen/Soldier,3 Doors Down
In Da Club,50 Cent
Happy,Pharrell Williams
Shambala,Three Dog Night
Sun Is Shining,Axwell and Ingrosso
The Universal,Blur
Boombastic,Shaggy
Rock And Roll,Led Zeppelin
Move On Up,Curtis Mayfield
Livin' Thing,Electric Light Orchestra
Walking On A Dream,Empire of the Sun
You Really Got Me,Van Halen
The Way You Look Tonight,Fred Astaire
Rhapsody in Blue,George Gershwin
Livin' On The Edge,Aerosmith
The Golden Age,The Asteroids Galaxy Tour
I Giorni,Ludovico Einaudi
What You Won't Do for Love,Bobby Caldwell
Lightning Bolt,Jake Bugg
Stand By Me,Ben E. King
How You Like Me Now?,The Heavy
Somewhere Only We Know,Lily Allen
Donna,Ritchie Valens
Radioactive,Imagine Dragons
Living in a Box,Living in a Box
Coming Home,Diddy
Show Me Love,Hundred Waters
To Live And Die In LA,Wang Chung
Hit The Road Jack,Ray Charles
Can You Dig It?,The Mock Turtles
Nothing From Nothing,Billy Preston
The Joker,Steve Miller Band
Sunshine Superman,Donovan
Son Of A Preacher Man,Dusty Springfield
In the Summertime,Mungo Jerry
Lush Life,Zara Larsson
Just A Friend,Biz Markie
Gertcha,Chas & Dave
Kill 'Em with Kindness,Selena Gomez
Invisible,U2
Grown Woman,Beyoncé
DoYaThing,Gorillaz
Magic,Robin Thicke
Secret Agent Man,Johnny Rivers
Counting Stars,OneRepublic
The Rubberband Man,The Spinners
Mercedes Benz,Janis Joplin
Sweet Child O' Mine,Taken by Trees
Eye of the Tiger,Survivor
Life's About to Get Good,Shania Twain
Da Dip,Freak Nasty
Ho Hey,The Lumineers
Stay Another Day,East 17
Everyday People,Sly & the Family Stone
Trouble,Ray LaMontagne
Go,The Chemical Brothers
Heartbeats,José González
Something In The Air,Thunderclap Newman
All of the Lights,Kanye West
Beautiful Day,Joshua Radin
Catch The Wind,Donovan
Sexy People (The FIAT Song) ,Arianna
Viva Las Vegas,Elvis Presley
Drinking In L.A.,Bran Van 3000
Two Princes,Spin Doctors
Can't Hold Us,Macklemore & Ryan Lewis
Made to Love,John Legend
Somebody's Watching Me,Rockwell
I Melt With You,Modern English
Good Vibrations,The Beach Boys
Everybody's Happy Nowadays,Buzzcocks
I'm Alive,The Hollies
Why Can't We Be Friends?,War
Don't,Ed Sheeran
We've Only Just Begun,Carpenters
Beyond The Sea,Bobby Darin
Season Of The Witch,Donovan
I'm Into Something Good,Herman's Hermits
Angel,Sarah McLachlan
We Owned the Night,Lady Antebellum
There is a Mountain,Donovan
The Times They Are A-Changin',Bob Dylan
Wish I Knew You,The Revivalists
No Sleep Till Brooklyn,Beastie Boys
Real Love Baby,Father John Misty
Like a Rock,Bob Seger
Wouldn't It Be Nice,The Beach Boys
Take On Me,a-ha
Black Dog,Led Zeppelin
"Please, Please, Please, Let Me Get What I Want",The Smiths
The Girl From Ipanema,Stan Getz and Astrud Gilberto
Dominos,The Big Pink
Country Song,Jake Bugg
Just Can't Get Enough,Depeche Mode
This Will Be (An Everlasting Love),Natalie Cole
At The River,Groove Armada
Be My Baby,The Ronettes
Kauga (Lost Time) ,Pierce Fulton
Search And Destroy,The Stooges
Better,Guns N' Roses
We Might Be Dead by Tomorrow,Soko
Don't Upset The Rhythm (Go Baby Go),The Noisettes
The Show,Lenka
Cult of Personality,Living Colour
Mellow Yellow,Donovan
Never Be the Same,Camila Cabello
Strawberry Letter 23,The Brothers Johnson
Rock The Boat,Hues Corporation
Here I Go Again,Whitesnake
Hot In Herre,Nelly
Lovely Day,Bill Withers
F---in Perfect,Pink
Hotline Bling,Drake
Treat Myself,Meghan Trainor
In The Air Tonight,Phil Collins
All Together Now,The Beatles
Piece Of My Heart,Big Brother & the Holding Company
Born to be Alive,Patrick Hernandez
Warm This Winter,Gabriella Cilmi
Count On Me,Bruno Mars
1901,Phoenix
Do That to Me One More Time,Captain & Tennille
Don't Stop Me Now,Queen
Fuel,Metallica
Blame It On The Bossa Nova,Eydie Gorme
If I Had $1000000,Barenaked Ladies
Got Me Under Pressure,ZZ Top
Our House,"Crosby, Stills, Nash & Young"
Wow,Beck
Let There Be Peace On Earth,Various
This Is Me,Keala Settle
Take Me,Paloma Faith
Freedom,Pitbull
Man Like That,Gin Wigmore
No You Girls,Franz Ferdinand
Spread Your Love,Black Rebel Motorcycle Club
Goodnight Gotham,Rihanna
Feliz Navidad,José Feliciano
Rumble,Link Wray & His Ray Men
Say I Wanna Know,Nick Waterhouse
Time After Time,Cyndi Lauper
Too Close,Alex Clare
You Sexy Thing,Hot Chocolate
Big Rings,Drake and Future
Wonderful Life,Black
New Slang,The Shins
Mad About The Boy,Dinah Washington
Hair Of The Dog,Nazareth
Without You,Nilsson
Oh Africa,Akon
Teach Your Children,"Crosby, Stills, Nash & Young"
Gigantic,Pixies
Home,Edward Sharpe & the Magnetic Zeros
Let's Go Crazy,Prince
On Top Of The World,Imagine Dragons
Underdog ,Kasabian
I'm Lovin' It (parapapapa),Justin Timberlake
In Your Room,Bangles
I Will Never Let You Down,Rita Ora
Easy,Commodores
Boom Boom,John Lee Hooker
Feeling Good,Nina Simone
"Please, Please, Please Let Me Get What I Want",Slow Moving Millie
Magic Carpet Ride,Steppenwolf
Ray Of Light,Madonna
Everywhere,Fleetwood Mac
Starman,David Bowie
When A Man Loves A Woman,Percy Sledge
Howlin' For You,The Black Keys
We Can Work It Out,The Beatles
Looks Like We Made It,Barry Manilow
Masquerade,Nicki Minaj
Cha Cha Slide,DJ Casper
You Know You Like It,AlunaGeorge
Rescue Me,Fontella Bass
Feeling Good,Avicii
Magic,Pilot
Think,Aretha Franklin
Cannonball,The Breeders
Mr. Big Stuff,Jean Knight
No Matter What Shape (Your Stomach's In),The T-Bones
Pink Moon,Nick Drake
Golden Slumbers,The Beatles
Tongue Tied,Grouplove
Santa Baby,Eartha Kitt
I'm a Woman,Peggy Lee
Get Busy,Sean Paul
Kiss From A Rose,Seal
Real Love,Tom Odell
Play Ball,AC/DC
Just One Look,Doris Troy
Good Vibrations,Marky Mark and the Funky Bunch
Strong,Will Hoge
The Man,Aloe Blacc
Heaven,Warrant
Wishing On A Star,Rose Royce
Won't Get Fooled Again,The Who
Touch,Natasha Bedingfield
Bye Bye Bye,'N Sync
Our Country,John Mellencamp
Forever,Haim
I Feel Pretty,West Side Story Cast Ensemble
Creator,Santigold
Freak on a Leash,Korn
Mr. Slater's Parrot,Bonzo Dog Doo Dah Band
Right Now,Van Halen
Sunglasses At Night,Corey Hart
Gooey,Glass Animals
Rapture,Blondie
Stranglehold,Ted Nugent
Stompa,Serena Ryder
S.O.B.,Nathaniel Rateliff & the Night Sweats
Paradise by the Dashboard Light,Meat Loaf
Jailbreak,Thin Lizzy
Fire,Barns Courtney
Hold My Hand,Jess Glynne
Love Train,The O'Jays
Love Is a Beautiful Thing,Al Green
Thriller,Michael Jackson
Don't Fence Me In,Cole Porter
Keep on Movin',Soul II Soul
Runaway,Kanye West
One Day I'll Fly Away,Vaults
Hold On,Wilson Phillips
"What Have They Done to My Song, Ma",Melanie
Flat Beat,Mr. Oizo
Blister In The Sun,Violent Femmes
Palladio,Escala
Happy Jack,The Who
Da Da Da,Trio
Youth,Foxes
Do You Realize??,The Flaming Lips
Wherever You Will Go,The Calling
Never Tear Us Apart,INXS
Me Too,Meghan Trainor
Bust A Move,Young MC
The Boys Are Back In Town,Thin Lizzy
Renegades,X Ambassadors
I'm Free,The Soup Dragons
Tighten Up,The Black Keys
Lemon,N.E.R.D
Are You Gonna Be My Girl,Jet
Do What U Want,Lady Gaga
Color My World,Petula Clark
Strangers in the Night,Frank Sinatra
Drew Barrymore,SZA
Whip It,Devo
Brave,Sara Bareilles
Another One Bites The Dust,Queen
Praise You,Fatboy Slim
Volunteers,Jefferson Airplane
Wings,Birdy
Slow Hand,The Pointer Sisters
Shake Up Christmas,Train
Who Says You Can't Go Home,Bon Jovi
Crazy Train,Ozzy Osbourne
It Takes Two,Marvin Gaye & Kim Weston
Out The Speakers,A-Trak + Milo & Otis
Reet Petite,Jackie Wilson
Every Time the Sun Comes Up,Sharon Van Etten
Singin' In The Rain,Gene Kelly
California King Bed,Rihanna
Black Sheep,Gin Wigmore
Oh Boy!,Buddy Holly
Animals,Maroon 5
Fly Like An Eagle,Steve Miller Band
Happiness,Needtobreathe
Drop It Like It's Hot,Snoop Dogg
Swagger Jagger,Cher Lloyd
Forever,Chris Brown
Mmm Yeah,Austin Mahone
Gunshot,Lykke Li
No Rain,Blind Melon
Haven't Got Time For the Pain,Carly Simon
Toyland,Doris Day
Picture Book,The Kinks
Mississippi Queen,Mountain
Rock You Like A Hurricane,Scorpions
Billie Jean,Michael Jackson
Best Friend,Sofi Tukker
Join Together,The Who
Happy Together,The Turtles
The Thieving Magpie Overture,Gioachino Rossini
Start Me Up,The Rolling Stones
Get Ur Freak On,Missy Elliott
Genesis,Justice
I'm Gonna Be (500 Miles),The Proclaimers
Yeah Yeah,Willy Moon
Dare (La La La),Shakira
Major Tom (I'm Coming Home),Peter Schilling
Freedom Of Choice,Devo
What I Like About You,The Romantics
All Right Now,Free
What Are You Doing The Rest Of Your Life?,Dusty Springfield
Best Day of My Life,American Authors
Standing on the Sun,Beyoncé
Lovin' Every Minute of It,Loverboy
Let's Spend The Night Together,The Rolling Stones
"Hello Muddah, Hello Faddah",Allan Sherman
Dream On,Aerosmith
Should I Stay or Should I Go?,The Clash
Don't Change 4 Me,Matthew Moon
Up All Night,Beck
New Soul,Yael Naïm
Fight Song,Rachel Platten
Dueling Banjos,Eric Weissberg and Steve Mandell
The Middle,Zedd
February Air,Lights
A Sign Of The Times,Petula Clark
Go Where You Wanna Go,The 5th Dimension
"Another Girl, Another Planet",The Only Ones
You Don't Own Me,Grace
Good Times,Chic
Da Ya Think I'm Sexy?,Rod Stewart
Who Needs You,The Orwells
Time In A Bottle,Jim Croce
Everybody Knows ,Leonard Cohen
Revolution,The Beatles
Shine,Take That
Ten Feet Tall,Afrojack
Wonderful World,Sam Cooke
Rather Be,Clean Bandit
That's My Girl,Fifth Harmony
Where Everybody Knows Your Name,Gary Portnoy
We Are Young,Fun.
All Star,Smash Mouth
You Always Make Me Smile,Kyle Andrews
Not Gonna Break Me,Jamie N Commons
Let's Hang On!,The Four Seasons
Bottle It Up,Sara Bareilles
When I'm Small,Phantogram
Desert Rose,Sting
Runnin' (Lose It All) ,Naughty Boy
Rockin' Around The Christmas Tree,Brenda Lee
Yellow,Coldplay
Ooh La La,Faces
Just What I Needed,The Cars
Y.M.C.A.,The Village People
Danger Zone,Kenny Loggins
Open Up Your Door,Richard Hawley
Look at Me Now,Chris Brown
Genius Of Love,Tom Tom Club
Hey Brother,Avicii
Glass & Patron,FKA Twigs
24K Magic,Bruno Mars
Lonesome Town,Rick Nelson
I Like It Like That,Pete Rodriguez
After Midnight,Eric Clapton
Everyday,Slade
Gangnam Style,PSY
Heartbreaker,Justin Bieber
Tonight is The Night,Outasight
School's Out,Alice Cooper
We'll Be Together,Sting
Sabotage,Beastie Boys
Holiday Road,Lindsey Buckingham
Enjoy Yourself (It's Later Than You Think),Guy Lombardo
Awake,Godsmack
Love Song For A Savior,Jars of Clay
Song 2,Blur
Bad Case of Loving You,Robert Palmer
Can't Help Falling In Love,Elvis Presley
Chandelier,Sia
Rollercoaster,Bleachers
My Baby Just Cares For Me,Nina Simone
Mr. Roboto,Styx
The Eyes of Mars,Franz Ferdinand
I Gotsta Get Paid ,ZZ Top
Sunshine,Tieks
Stacy's Mom,Fountains of Wayne
Getting Better,The Beatles
Movin' On Up (Theme to The Jeffersons),Ja'net Dubois and Oren Waters
Way Down We Go,Kaleo
Everlasting Love,Robert Knight
Safe and Sound,Capital Cities
Gasolina,Daddy Yankee
Return Of The Mack,Mark Morrison
White Room,Cream
Roots and Wings,Miranda Lambert
Adiemus,Karl Jenkins
Bitter Sweet Symphony,The Verve
Push It,Salt-N-Pepa
Sugar,Robin Schulz
American Woman,The Guess Who
St. Elmo's Fire (Man In Motion),John Parr
Scorpio Rising,Death in Vegas
Original Of The Species,U2
Eat Steak,The Reverend Horton Heat
Africa,Toto
Young Folks,Peter Bjorn and John
Am I Wrong ,Anderson Paak
Welcome To My Life,Empire of the Sun
Sugar,Maroon 5
Sleepyhead,Passion Pit
I Know There's Gonna Be (Good Times),Jamie xx
Every Day Is a Holiday,Katy Perry
Sax,Fleur East
Landslide,Fleetwood Mac
Never My Love,The Association
Yeah Yeah Yeah La La La,Calvin Harris
Mr. Blue Sky,Electric Light Orchestra
Louie Louie,The Kingsmen
Move Closer,Phyllis Nelson
Don't You Know What The Night Can Do?,Steve Winwood
Tempted,Squeeze
I Heard It Through the Grapevine,Marvin Gaye
Party Hard,Andrew W.K.
Give Up the Funk (Tear the Roof off the Sucker),Parliament
True Colors,Cyndi Lauper
Don't Stop (Color on the Walls),Foster the People
Feel It Still,Portugal. The Man
Home Sweet Home,Mötley Crüe
We Are Family,Sister Sledge
Baby Come Back,Player
Aria,Yanni
Whistle While You Work,Adriana Caselotti
What Is Love,Haddaway
Better Now,Collective Soul
Down Down,Status Quo
Always On My Mind,Willie Nelson
I Just Want To Make Love To You,Muddy Waters
I Walk The Line,Johnny Cash
Pianni,Mara Carlyle
You Ain't Alone,Alabama Shakes
I Wish I Knew (How It Would Feel to Be Free) ,Billy Taylor
I Believe In A Thing Called Love,The Darkness
California Sun,The Rivieras
Blurred Lines,Robin Thicke
Misbehavin',Labrinth
Ooh La La,Goldfrapp
Something,The Beatles
Champions,O.A.R. and B.o.B
All Goes Wrong ,Chase & Status
I Bet My Life,Imagine Dragons
The Sunnyside Of The Street,The Pogues
Sweet About Me,Gabriella Cilmi
Daylight,Matt & Kim
Working Man,Rush
Bruises,Chairlift
Go Your Own Way,Fleetwood Mac
I'd Like To Teach The World To Sing,The New Seekers
Thunderclouds,LSD
Come Back To Me,HollySiz
Can't Get Enough of You Baby,Smash Mouth
(Sittin' On) The Dock Of The Bay,Otis Redding
Anything Could Happen,Ellie Goulding
You Give A Little Love,Bugsy Malone
Waiting Game,Banks
Sunday Morning,The Velvet Underground
After Light,Rustie
Tarzan Boy,Baltimora
Nothing's Gonna Stop Us Now,Starship
"You're the First, the Last, My Everything",Barry White
The Last Good Day Of The Year,Cousteau
Hello,Martin Solveig
O-o-h Child,The Five Stairsteps
Groove Is in the Heart,Deee-Lite
You'll Always Find Me In The Kitchen At Parties,Jona Lewie
Style,Taylor Swift
Wizards in Winter,Trans-Siberian Orchestra
1234,Feist
Wipe Out,The Surfaris
Let Her Go,Passenger
Nothing But A Heartache,The Flirtations
Jeans On,David Dundas
