song,artist
Hey Mama,David Guetta
"Quando, Quando, Quando (Tell Me When)",Pat Boone
Stormy Weather,Lena Horne
1-2-3,Gloria Estefan & Miami Sound Machine
Lazy,Irving Berlin
Closing Time,Semisonic
Down To Earth,Peter Gabriel
Don't Walk Away,Electric Light Orchestra
Going Back to Cali,LL Cool J
Wild Thing,The Troggs
Priceless,For King & Country
There's a Place For Us,Carrie Underwood
Kick Ass,Mika
Rehumanize Yourself,The Police
This Is Me,Keala Settle
Magic,Pilot
Sweets For My Sweet,The Searchers
I'll Say Good-Bye for the Two of Us,Exposé
The Heat Is On,Glenn Frey
For What It's Worth,Buffalo Springfield
Just A Girl,No Doubt
Titanium,David Guetta
Got To Give It Up,Marvin Gaye
Medieval Warfare,Grimes
Back To School Again,Cast of Grease 2
I Ain't Got Nobody,Bessie Smith
Love Is Your Color,Leona Lewis and Jennifer Hudson
Damn It Feels Good to Be a Gangsta,Geto Boys
Cult of Personality,Living Colour
Think Like A Man,Jennifer Hudson and Ne-Yo
Da Butt,E.U.
The Pretender,Jackson Browne
Amber,311
Cups,Anna Kendrick
Negasonic Teenage Warhead,Monster Magnet
Mickey,Toni Basil
Success Story,The Who
Requiem for A Private War,Annie Lennox
Flashlight,Jessie J
Flowers On The Wall,The Statler Brothers
"Matchmaker, Matchmaker",Cast of Fiddler on the Roof
Mule Skinner Blues,Bill Monroe
The Main Event,Barbra Streisand
Bug Hunt,Skrillex
Silent Running (On Dangerous Ground),Mike + the Mechanics
Ordinary Miracle,Sarah McLachlan
War,Edwin Starr
Who Let The Dogs Out,Baha Men
Demolition Man,The Police
Hey Man Nice Shot,Filter
Hollywood Swinging,Kool & the Gang
I Just Called To Say I Love You,Stevie Wonder
Where We Left Off,Hunter Hayes
Reproduction,Cast of Grease 2
Blue Velvet,Bobby Vinton
Black,Sevendust
Better When I'm Dancin',Meghan Trainor
Mahna Mahna,The Muppets
These Days,Jackson Browne
Sit On My Face,Monty Python
Chances,Five for Fighting
Bossa Nova Baby,Elvis Presley
Heart and Soul,Larry Clinton
Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel
(There's No Place Like) Home for the Holidays,Perry Como
Edelweiss,Cast of The Sound of Music
Catch A Falling Star,Perry Como
Together Forever,Rick Astley
Peace Sword (Open Your Heart),The Flaming Lips
I Can See In Color,Mary J. Blige
St. Elmo's Fire (Man In Motion),John Parr
One After 909,The Beatles
Love Grows (Where My Rosemary Goes),Edison Lighthouse
What If,Creed
Million Dollar Dream,Iggy Azalea
On the Radio,Donna Summer
Can't Help Falling In Love,UB40
Twister,Mariah Carey
Born To Be Wild,Steppenwolf
Time For Miracles,Adam Lambert
Last Night,The Mar-Keys
Bye Bye Blackbird,Eddie Cantor
Bang Bang,K'NAAN
Genius Of Love,Tom Tom Club
Sussudio,Phil Collins
The Same Old Army,The Swinging Corporals
High Noon,Frankie Laine
Then He Kissed Me,The Crystals
Let It Go,Idina Menzel
Meet Me On the Equinox,Death Cab for Cutie
Shiny Happy People,R.E.M.
Born Free,Matt Monro
Heigh-Ho,The Seven Dwarfs
Lady Marmalade,Labelle
Lovetown,Peter Gabriel
Line & Sinker,Billy Talent
Go West,The Village People
I Love The Nightlife (Disco 'Round),Alicia Bridges
Bright Eyes,Art Garfunkel
Les Bicyclettes De Belsize,Engelbert Humperdinck
Lucky Star,Madonna
Jump,Flo Rida
I Know You Care,Ellie Goulding
Black Love,Greg Dulli
Standing Outside a Broken Phone Booth With Money in My Hand,Primitive Radio Gods
Sentimental Lady,Bob Welch
Winner Takes It All,Sammy Hagar
Freeze-Frame,J. Geils Band
I Want It That Way,Backstreet Boys
Angels Are Hard to Find,"Hank Williams, Jr."
Such Great Heights,The Postal Service
Golden Brown,The Stranglers
"Baby, I Love Your Way",Peter Frampton
Gravity,Bic Runga
Heartbreak Lullaby,The A-Teens
Jane,Jefferson Starship
Theme From Mission: Impossible,Adam Clayton and Larry Mullen
Words,Bee Gees
Let's Go Fly A Kite,Julie Andrews
Breakaway,Kelly Clarkson
Ballad of Easy Rider,The Byrds
Magic Carpet Ride,Steppenwolf
Everybody Wants Some!!,Van Halen
Hong Kong Garden,Siouxsie and the Banshees
Pinball Wizard,The Who
The Ugly Duckling,Danny Kaye
Accidentally in Love,Counting Crows
Standing In The Rain,Action Bronson & Dan Auerbach
Forever Young,Alphaville
Strangers in the Night,Frank Sinatra
I Wanna Sex You Up,Color Me Badd
The Music Goes Round And Around,Ella Fitzgerald
Big Gun,AC/DC
Possibility,Lykke Li
Turn Your Lights Down Low,Bob Marley
Slow Ride,Foghat
The Bare Necessities,Baloo The Bear and Mowgli
Bernadette,The Four Tops
Dirty Little Secret,The All-American Rejects
Graduate,Third Eye Blind
Take Me Back To Dear Old Blighty,Florrie Forde
Maneater,Hall & Oates
S--tlist,L7
Let's Do It Again,The Staple Singers
(You're So Square) Baby I Don't Care,Elvis Presley
Ripple,Grateful Dead
Love's In Need Of Love Today,Stevie Wonder
The Cat Came Back,Fred Penner
Closer,Nine Inch Nails
The Third Man Theme,Anton Karas
Heavenly Father,Bon Iver
Towards the Sun,Rihanna
White Rabbit,Jefferson Airplane
Lookin' Out My Back Door,Creedence Clearwater Revival
Bad Boys,Inner Circle
On The Good Ship Lollipop,Shirley Temple
Tomorrow,Cast of Annie
Bleed For Love,Jennifer Hudson
Panzram's Blues,Nightmare At Hanging Rock
Live To Rise,Soundgarden
Bela Lugosi's Dead,Bauhaus
I Touch Myself,The Divinyls
Lambada,Kaoma
Live And Die,The Avett Brothers
Blockbuster,Sweet
I'm in Love With a Monster,Fifth Harmony
Lux Aeterna,Kronos Quartet
Bring Me To Life,Evanescence
A Little Party Never Killed Nobody (All We Got),Fergie
Only U,Ashanti
God Only Knows,The Beach Boys
Stronger,Mary J. Blige
High School Musical,High School Musical Cast
Star Wars (Main Theme),John Williams
Help!,The Beatles
Reflecting Light,Sam Phillips
Peace And Quiet,Cast of The Water Gipsies
Head Over Heels,Tears for Fears
Accidents Will Happen,Elvis Costello
Mockingbird,Inez & Charlie Foxx
Smoke Gets in Your Eyes,The Platters
Look For a Star,Gary Mills
The One,Foo Fighters
Someone To Call My Own,Behan/Johnson
ABC,The Jackson 5
"Hello, I Love You",The Doors
Ticket To Ride,The Beatles
Do You Really Want To Hurt Me?,Culture Club
The Name Game,Shirley Ellis
Ballad Of Sacco And Vanzetti Part 1,Joan Baez
Be,Neil Diamond
When I'm 64,The Beatles
No More Mr. Nice Guy,Alice Cooper
On My Own,Samantha Barks
Ding Dong! The Witch Is Dead,The Fifth Estate
Last Breath,Future
Love on the Rocks,Neil Diamond
Sandy,John Travolta
Magic,Olivia Newton-John
When Can I See You Again?,Owl City
The World Is Not Enough,Garbage
When You Believe,Mariah Carey and Whitney Houston
The Keeper,Chris Cornell
Cherry Pink And Apple Blossom White,Pérez Prado
Thoroughly Modern Millie,Julie Andrews
Since U Been Gone,Kelly Clarkson
Somebody's Baby,Jackson Browne
Things Have Changed,Bob Dylan
Because They're Young,Duane Eddy
Hats Off To Larry,Del Shannon
Chitty Chitty Bang Bang,Dick Van Dyke
Love My Way,The Psychedelic Furs
Angel Eyes,The Jeff Healey Band
The Chair,Jars of Clay
High,Dua Lipa
Take A Picture,Filter
You Learn,Alanis Morissette
Why Don't You Do Right?,Peggy Lee
I Just Don't Think I'll Ever Get Over You,Colin Hay
Late For The Sky,Jackson Browne
Find You,Zedd
C'mon N' Ride It (The Train),Quad City DJ's
City of Stars,Ryan Gosling & Emma Stone 
If You Believe,Irving Berlin
Dueling Banjos,Eric Weissberg and Steve Mandell
Soldier Boy,The Shirelles
If I Had Words,Scott Fitzgerald and Yvonne Keeley
The Good Stuff,Kenny Chesney
You Oughta Know,Alanis Morissette
The Baddest Man Alive,The Black Keys
Boogie Shoes,KC & The Sunshine Band
There's A Place ,The All-American Rejects
With You I'm Born Again,Billy Preston
Leave it Up to Me,Aaron Carter
My Funny Friend and Me,Sting
I Got You (I Feel Good),James Brown
Do It Again,The Beach Boys
What's Love Got To Do With It,Tina Turner
Princes Of The Universe,Queen
Tears In Heaven,Eric Clapton
What Are You Doing The Rest Of Your Life?,Dusty Springfield
Be Near Me,ABC
Uninvited,Alanis Morissette
Daydream,The Lovin' Spoonful
Keep Your Eyes on Me ,Tim McGraw
Runaway Train,Elton John
It's the End of the World As We Know It (And I Feel Fine),R.E.M.
Ballad Of Sacco And Vanzetti Part 3,Joan Baez
Sing,Travis
Dancing Queen,ABBA
Tender Love,Force MD's
I Don't Wanna Live Forever,Taylor Swift
My Mechanical Friend,Grace Potter and The Flaming Lips
Rebel Rouser,Duane Eddy
Work Is A Four Letter Word,Cilla Black
Fists of Fury,Kamasi Washington
I'm Your Boogie Man,KC & The Sunshine Band
Gloria,Them
"Yesterday, When I Was Young",Roy Clark
The Killing Moon,Echo & the Bunnymen
Life is Beautiful,Lana Del Rey
Sordid Lives,Olivia Newton-John
Just Out Of Reach,The Zombies
Moving On Up,M People
Didn't I (Blow Your Mind This Time),The Delfonics
Black Country Rock,David Bowie
Isn't It Romantic?,Maurice Chevalier
What It Takes,Montgomery Gentry
Carolina In The Morning,Jimmy Dorsey
Colors Of The Wind,Vanessa Williams
Play That Funky Music,Wild Cherry
J.A.R. (Jason Andrew Relva),Green Day
I Believe in Love,Kenny Loggins
Coal Miner's Daughter,Loretta Lynn
Exhale (Shoop Shoop),Whitney Houston
I Gave My Love a Cherry,Traditional
All Night Long,Joe Walsh
Mrs. Robinson,Simon & Garfunkel
But Not Tonight,Depeche Mode
Happy Trails,Roy Rogers & Dale Evans
Whistle,Kylie Minogue
Rollin' (Air Raid Vehicle),Limp Bizkit
Soul Bossa Nova,Quincy Jones
If I Ruled The World,Kurtis Blow
Fashion,David Bowie
I'm Not In Love,10cc
The Stranger Song,Leonard Cohen
The Heart of Christmas,Matthew West
Flashdance... What a Feeling,Irene Cara
Fall Out,Train
Too Hot Ta Trot,Commodores
Paid In Full,Eric B. & Rakim
Funkytown,Lipps Inc.
Promise To Try,Madonna
Alright,Supergrass
If I Fell,The Beatles
Rockin' Around The Christmas Tree,Brenda Lee
Time Warp,Rocky Horror Picture Show Cast Ensemble
Nashville Rebel,Waylon Jennings
Rockin' Robin,Bobby Day
Dig It,The Beatles
Just a Gigolo,Bing Crosby
Always Remember Us This Way,Lady Gaga
Louie Louie,The Kingsmen
Cut To The Feeling,Carly Rae Jepsen
Young And Beautiful,Lana Del Rey
For Your Eyes Only,Sheena Easton
Luck Be A Lady,Frank Sinatra
Among My Souvenirs,Horatio Nicholls
Sacrifice,Motörhead
Silhouettes,Of Monsters and Men
Don't Get 2 Close (2 My Fantasy),Ween
Spill The Wine,War
Sweet Child O' Mine,Taken by Trees
Low Rider,War
Sweeter Than Fiction,Taylor Swift
I Can Dream About You,Dan Hartman
Gonna Catch You,Lonnie Gordon
Like A Friend,Pulp
It Must Be Love,Madness
Get Happy,Judy Garland
The Ballad of Davy Crockett,Bill Hayes
Machinehead,Bush
Pray For Me,Kendrick Lamar
Rollin' With My Homies,Coolio
See You in Hell,Monster Magnet
Souljacker part I,Eels
Shell Shocked,"Juicy J, Wiz Khalifa, Ty Dolla $ign"
True Grit,Glen Campbell
Love Lies,Normani
Forbidden Fruit,Noël Coward
Magical Mystery Tour,The Beatles
The Payback,James Brown
Give U My Heart,Toni Braxton and Babyface
Jackie Wilson Said (I'm in Heaven When You Smile),Van Morrison
Down So Low,Mother Earth
When I See An Elephant Fly,Cliff Edwards
Getting Away with It (All Messed Up),James
It Must Have Been Love,Roxette
Run Home,Priestess
Burn,The Cure
Beauty in the World,Macy Gray
Pride (In The Name Of Love),U2
No More Tears,Ozzy Osbourne
One Tin Soldier (The Legend of Billy Jack),Coven
Doesn't Really Matter,Janet Jackson
Got To Get You Into My Life,The Beatles
Rise Up,Beyoncé
All Of Me,Frank Sinatra
Bohemian Like You,The Dandy Warhols
Friends,Band of Skulls
Pure Shores,All Saints
Dream City Dreams,Wild August
All Out Of Love,Air Supply
Where Have All The Flowers Gone?,The Kingston Trio
I Wouldn't Change A Thing,Demi Lovato
I Can See Clearly Now,Johnny Nash
Winter Light,Linda Ronstadt
Baby It's Cold Outside,Margaret Whiting and Johnny Mercer
Plastic Jesus,Eddie Marrs
Jean,Oliver
If You're Not The One,Daniel Bedingfield
Miracles,Coldplay
It's On Again,Alicia Keys
Big Empty,Stone Temple Pilots
Stand Up For Something,Andra Day
Light of Day,Bruce Springsteen
Do-Re-Mi,Julie Andrews
Teenagers,Hayley Williams
The Sound Of Music,Julie Andrews
If The World,Guns N' Roses
Anniversary Song,Al Jolson
Will You Be There?,Michael Jackson
Future's Bright,Richard Ashcroft
Hot Stuff,Donna Summer
Pomp and Circumstance,Edward Elgar
Whoop-Ti-Ay!,Cast of Paint Your Wagon
Lollipop,The Chordettes
Masterpiece,Madonna
Porcelain,Red Hot Chili Peppers
Happy,Pharrell Williams
I Melt With You,Modern English
Can You Read My Mind,Maureen McGovern
Get The Girl,Bangles
Kick Some Ass,Stroke 9
Unsatisfied,The Replacements
Show Me Heaven,Maria McKee
Until The End Of The World,U2
Aquarius/Let the Sunshine In,The 5th Dimension
My Boy Lollipop,Millie Small
Seven Stars,Air
Have You Ever Really Loved A Woman?,Bryan Adams
With A Girl Like You,The Troggs
I've Never Been To Me,Charlene
In Dreams,Roy Orbison
Wings Of A Dove,Ferlin Husky
Stardust,Hoagy Carmichael & His Orchestra
Rose Marie,Slim Whitman
I Want to Be a Cowboy's Sweetheart,Patsy Montana
Lean On Me,Bill Withers
Kiss You All Over,Exile
Bad Reputation,Joan Jett
Girls Just Want To Have Fun,Cyndi Lauper
The Ride Of The Valkyries,Richard Wagner
Baggy Trousers,Madness
The Lady In The Tutti Frutti Hat,Carmen Miranda
The Moon Song,Karen O
Mule Train,Frankie Laine
Living In America,James Brown
I Need You,The Beatles
Who'll Stop The Rain?,Creedence Clearwater Revival
Forever,Drake
I Should Have Known Better,The Beatles
Get Up Again,Flaw
Exit Music (For A Film),Radiohead
Heathens,Twenty One Pilots
I've Told Ev'ry Little Star,Linda Scott
Wouldn't It Be Nice,The Beach Boys
Back to Life,Alicia Keys
Alice,Avril Lavigne
Young At Heart,Frank Sinatra
A Spoonful Of Sugar,Julie Andrews
Steal My Sunshine,Len
Ill Manors,Plan B
Love Is On The Way,Billy Porter
All The Right Friends,R.E.M.
Vanilla Sky,Paul McCartney
Temptation,Heaven 17
Cotton Eye Joe,Rednex
Bad Days,The Flaming Lips
The Shoop Shoop Song (It's In His Kiss),Betty Everett
Hard to Say I'm Sorry,Chicago
Shake Your Groove Thing,Peaches & Herb
Carry Me Home,The Living End
The Great Pretender,The Platters
Everloving,Moby
All Over The World,Electric Light Orchestra
Sweet Dreams (Are Made Of This),Eurythmics
Why Can't I?,Liz Phair
Ain't No Mountain High Enough,Diana Ross
Ordinary World ,Green Day
Can't Get It Out Of My Head,Electric Light Orchestra
Earth Died Screaming,Tom Waits
Looking For Clues,Robert Palmer
Feel the Light,Jennifer Lopez
Big City,Merle Haggard
"Here, There And Everywhere",The Beatles
Steppin' Out With My Baby,Fred Astaire
Borrowed Time,Thompson Square
Georgy Girl,The Seekers
Iris,The Goo Goo Dolls
The House Is Rockin',Stevie Ray Vaughan
I See Fire,Ed Sheeran
Year Of Tha Boomerang,Rage Against the Machine
Atomic,Blondie
Space Lord,Monster Magnet
Holiday Road,Lindsey Buckingham
It Had To Be You,Frank Sinatra
Mayday,Boys Noize
Get U Home,Shwayze
The Windmills Of Your Mind,Noel Harrison
Vindicated,Dashboard Confessional
Secret Agent Man,Johnny Rivers
Three Small Words,Josie & the Pussycats
For He's A Jolly Good Fellow,Traditional
Hope,Shaggy
Follow That Dream,Elvis Presley
Hands of Love,Miley Cyrus
Malagueña Salerosa (La Malagueña),Traditional
Tupelo Honey,Van Morrison
My Guy,Mary Wells
Unchained Melody,The Righteous Brothers
The Ghost in You,The Psychedelic Furs
Get Ready for It,Take That
Witch Doctor,David Seville
With Or Without You,U2
You Dropped a Bomb on Me,The Gap Band
I Never Loved A Man (The Way I Love You),Aretha Franklin
Stop Cryin' Your Heart Out,Oasis
Bound to You,Christina Aguilera
Love Came For Me,Rita Coolidge
More Than This,Roxy Music
The Daring Young Man On The Flying Trapeze,Traditional
Me Ol' Bam-Boo,Dick Van Dyke
Search And Destroy,The Stooges
Summer Madness,Kool & the Gang
Miserlou,Dick Dale
Rainbow Connection,The Muppets
Bibbidi-Bobbidi-Boo,Perry Como & The Fontane Sisters
She Wore a Yellow Ribbon,Traditional
Countdown to Love,Greg Phillinganes
We Belong,Pat Benatar
Moonlight In Vermont,Jo Stafford
One Day I'll Fly Away,Randy Crawford
At Last,Etta James
Take On Me,a-ha
Carry On Wayward Son,Kansas
Whatcha See Is Whatcha Get,The Dramatics
Porcelain,Moby
Kokomo,The Beach Boys
Dude (Looks Like A Lady),Aerosmith
I'll Be Waiting,Lenny Kravitz
Tell Me Why,The Beatles
Wherever You Will Go,The Calling
Make Me Lose Control,Eric Carmen
Rudie Can't Fail,The Clash
The Madison Time,Ray Bryant Combo
Trust In Me,Kaa the Snake
My Type,Saint Motel
Escape (The Piña Colada Song),Rupert Holmes
A Million Dreams,Ziv Zaifman
You Got It,Roy Orbison
Who Wants To Be A Millionaire?,Frank Sinatra
U Will Know,Black Men United
Soldier,Shania Twain
April Love,Pat Boone
Bring Em' Out,Hawk Nelson
I'm Alright,Kenny Loggins
Keep You,Wild Belle
Cat People (Putting Out Fire),David Bowie
Chili,Randallen
The Promise,Chris Cornell
Ultimate,Lindsay Lohan
Miss Misery,Elliott Smith
Meet Me Half Way,Kenny Loggins
Never Ending Story,Limahl
Mirrors,Ellie Goulding
"Better You, Better Me",Alicia Keys
Strange Love,Karen O
Sugar Baby Love,Rubettes
Hold On,Wilson Phillips
Love Hangover,Diana Ross
Bohemian Rhapsody,Queen
Goodbye Girl,David Gates
Lily Was Here,David Stewart featuring Candy Dulfer
Bang My Head,David Guetta
Are You That Somebody?,Aaliyah
Deadly Handsome Man,Marcy Playground
There's No Business Like Show Business,Ethel Merman
White Dress,Kanye West
Halfway,Luke Dowler
Life Is a Highway,Tom Cochrane
Start a Fire,John Legend
I Don't Want To Miss A Thing,Aerosmith
Somebody To Love,Jefferson Airplane
Spirit In The Sky,Norman Greenbaum
The Ballad of Peter Pumpkinhead,XTC
Battle Cry,Imagine Dragons
Coconut,Nilsson
A Thousand Miles,Vanessa Carlton
Brand New Day,The Staple Singers
