song,artist
Brush Up Your Shakespeare,"Cast of Kiss Me, Kate"
It's Hard To Speak My Heart,Brent Carver
The Plea,Cast of London Road
Believe,Nick Jonas
Mrs. Sally Adams,Irving Berlin
Life Is Just A Bowl Of Cherries,Rudy Vallée
Till There Was You,The Beatles
Get Me To The Church On Time,Stanley Holloway
Edelweiss,Cast of The Sound of Music
As Long As He Needs Me,Cast of Oliver!
There Is Nothin' Like A Dame,Cast of South Pacific
The Stately Homes Of England,Noël Coward
A Policeman's Lot Is Not A Happy One,Cast of The Pirates Of Penzance
Eli's Coming,Three Dog Night
How High The Moon,Les Paul and Mary Ford
Memory,Elaine Page
J'aime Bien Mes Dindons,Edmond Audran
"Food, Glorious Food",Cast of Oliver!
Tea For Two,Doris Day
We're Not Gonna Take It,The Who
Once Before I Go,Peter Allen
You'd Be Surprised,Eddie Cantor
I'll Never Fall in Love Again,Dionne Warwick
No Plan ,David Bowie
"Home, Sweet Home",Maria Tree
Eye Of The Beholder,Cast of The Witches Of Eastwick
I Got Rhythm,Ethel Merman
Legally Blonde,Cast of Legally Blonde
Someone To Watch Over Me,Gertrude Lawrence
Pretty Women,Cast of Sweeney Todd
The Victoria And Albert Waltz,Cast of I And Albert
"Honey, Honey",ABBA
I Only Have Eyes For You,The Flamingos
We're On Our Way To France,Irving Berlin
Cop Song,Cast of Urinetown
Why Can't The English?,Rex Harrison
"Shine On, Harvest Moon",Jack Norworth and Nora Bayes
The Worst Pies In London,Cast of Sweeney Todd
Chop To The Top,"Original Cast of SpongeBob SquarePants, The New Musical"
Darn that Dream,Miles Davis
I'll See You Again,Noël Coward
Johanna (Judge's Song),Cast of Sweeney Todd
Omigod You Guys,Cast of Legally Blonde
Don't Be The Bunny,Cast of Urinetown
You And The Night And The Music,Frank Sinatra
Send In The Clowns,Judy Collins
We're Prisoners Of Love,Cast of The Producers
You're Just In Love,Russell Nype and Ethel Merman
I'm Gonna Find My Own,Cast of Gone With The Wind
Dirty Laundry,Cast of The Witches Of Eastwick
Cellular Material,Cast of London Road
An Old-Fashioned Wedding,Cast of Annie Get Your Gun
Summertime,Various
Serious,Cast of Legally Blonde
My Friends,Cast of Sweeney Todd
Drinking Song,Mario Lanza
Snuff That Girl,Cast of Urinetown
Tomorrow Belongs To Me,Cast of Cabaret
Wait For It,Leslie Odom Jr.
Brigadoon,Cast of Brigadoon
The Ballad Of Booth,Cast of Assassins
Watson's Lullaby,John Leslie Wolf
"Hello, Dolly!",Louis Armstrong
We Can Do It,Cast of The Producers
What Is Urinetown?,Cast of Urinetown
I Dreamed a Dream,Susan Boyle
Wouldn't It Be Fun!,Cole Porter
I Get A Kick Out Of You,Ethel Merman
Steam Heat,Pajama Game Cast Ensemble
The Boy I Love Is Up in the Gallery,Marie Lloyd
If Love Were All,Noël Coward
Donna,Cast of Hair
Here We Are Again,Bruce Hornsby
Lorelei,Noël Coward
Satisfied,Renée Elise Goldsberry
When I Met You I Met My Waterloo,Sunday & Monday
Financial Advice,The Scottsboro Boys
Pirate Jenny,Nina Simone
I Cain't Say No,Cast of Oklahoma!
I And Albert,Cast of I And Albert
The Sound Of Music,Julie Andrews
Wand'rin' Star,Lee Marvin
"Quiet Please, There's a Lady on Stage",Peter Allen
Hand Me Down That Can of Beans,Cast of Paint Your Wagon
A Pretty Girl Is Like A Melody,Irving Berlin
The Dress Makes the Man,Hawksley Workman
You've Never Had It So Good,Cast of Stephen Ward the Musical
I Like America,Noël Coward
Body and Soul,Libby Holman
Night And Day,Frank Sinatra
Thank God I'm Old,Cast of Barnum
Feed Me (Git It),Cast of The Little Shop Of Horrors
Perfect Young Ladies,Cast of The Boy Friend
And I Am Telling You I'm Not Going,Jennifer Holliday
Carousel,Jacques Brel
Don't Tell Me That Again,Cast of Andy Capp The Musical
Mack The Knife,Bobby Darin
Standing On The Corner,The Four Lads
Try To Remember,Gladys Knight & the Pips
We've All Stopped,Cast of London Road
Ain't Misbehavin',Fats Waller
It's De-Lovely,Cole Porter
Please Don't,David Byrne & Fatboy Slim
Good Boy,Laura Bell Bundy
"Bewitched, Bothered And Bewildered",Vivienne Segal
Any Dream Will Do,Jason Donovan
"God, That's Good",Cast of Sweeney Todd
"See Me, Feel Me",The Who
The Man I Love,Kate Bush and Larry Adler
I've A Shooting Box In Scotland,Joseph C. Smith and his Orchestra
Orlando,Cast of The Book of Mormon
This is the Moment,Anthony Warlow
We Both Reached For The Gun,Cast of Chicago
When It's Sleepy Time Down South,Louis Armstrong
All American Prophet,Cast of The Book of Mormon
Eastwick Knows,Cast of The Witches Of Eastwick
Swanee,Al Jolson
Blood In The Water,Cast of Legally Blonde
Begin The Beguine,Cole Porter
Good Girls Go To Heaven,Sally Kellerman
Kansas City,Cast of Oklahoma!
7½ Cents,Pajama Game Cast Ensemble
The Man I Love,Peggy Lee
When You Get To Know Me,Cast of Stephen Ward the Musical
A Real Slow Drag,Scott Joplin
Paperboy,Bruce Hornsby
I Feel Pretty,West Side Story Cast Ensemble
Ireland,Cast of Legally Blonde
Hello,Cast of The Book of Mormon
Whip-Poor-Will,Cast of Zip Goes A Million
Half A Sixpence,Tommy Steele
A Nice Cup Of Tea,Binnie Hale
Chip on My Shoulder,Cast of Legally Blonde
Something,Cast of The Witches Of Eastwick
Positive,Cast of Legally Blonde
Ease On Down The Road,Consumer Rapport
The File On Dr. Fink,Cast of Come Spy With Me
If It's Too Late,Katherine Kelly
The Ballad Of Sweeney Todd,Cast of Sweeney Todd
Dulcinea,Cast of Man Of La Mancha
Put On A Happy Face,Cast of Bye Bye Birdie
Rose Marie,Slim Whitman
Mean Green Mother from Outer Space,Cast of The Little Shop Of Horrors
The Man I Love,George Gershwin
We're Waiting,Cast of Andy Capp The Musical
Pinball Wizard,The Who
"Another Op'nin, Another Show","Cast of Kiss Me, Kate"
You've Got To Pick A Pocket Or Two,Cast of Oliver!
One Brick At A Time,Cast of Barnum
Killing a Little Time ,David Bowie
I Don't Know How To Love Him,Yvonne Elliman
The Colors of My Life,Cast of Barnum
It Ain't Necessarily So,George Gershwin
Hula Lou,Danny Kaye
Defying Gravity,Glee
There Is A Sucker Born Ev'ry Minute,Cast of Barnum
Don't Cry For Me Argentina,Julie Covington
Helpless,Ashanti
How Are Things In Glocca Morra?,Cast of Finian's Rainbow
Me,Cast of Beauty And The Beast
Sweet Georgia Brown,Brother Bones & His Shadows
There! Right There!,Cast of Legally Blonde
A Little Priest,Cast of Sweeney Todd
An Ordinary Couple,Cast of The Sound of Music
Carolina In The Morning,Jimmy Dorsey
"Oh, What a Beautiful Mornin'",Cast of Oklahoma!
Dentist!,Cast of The Little Shop Of Horrors
When I Met You ,David Bowie
Dance With The Devil,Cast of The Witches Of Eastwick
Daughter Of Delta Nu,Cast of Legally Blonde
How Could You Believe Me When I Said I Love You When You Know I've Been A Liar All My Life,Fred Astaire
Anything You Can Do,Ethel Merman and Ray Middleton
All That Jazz,Cast of Chicago
"Little Bird, Little Bird",Cast of Man Of La Mancha
Museum Song,Cast of Barnum
For Good,Kristen Chenoweth and Idina Menzel
On the Sunny Side Of The Street,Harry Richman
I Dreamed A Dream,Anne Hathaway
They Decided Not to Like Us,Hawksley Workman
Who's The Man?,Cast of The Witches Of Eastwick
I've Told Ev'ry Little Star,Linda Scott
I Wanna Be A Producer,Cast of The Producers
Maria,West Side Story Cast Ensemble
Why Can't A Woman Be More Like A Man?,Cast of My Fair Lady
Anything Goes,Cole Porter
Make Him Mine,Cast of The Witches Of Eastwick
By The Sea,Cast of Sweeney Todd
A Room In Bloomsbury,Cast of The Boy Friend
"Kiss Me, Kate","Cast of Kiss Me, Kate"
Lovesick Blues,Hank Williams
I Love A Little Town,Cast of The Witches Of Eastwick
I'll Be Seeing You,Billie Holiday
Poor Little Rich Girl,Noël Coward
Summer Nights,John Travolta and Olivia Newton-John
Mad Dogs And Englishmen,Noël Coward
London Road In Bloom,Cast of London Road
The Impossible Dream,Cast of Man Of La Mancha
Mr. Cellophane,Cast of Chicago
I Am Trying To Remember,Ray Aranha
America,West Side Story Cast Ensemble
Lazarus,David Bowie
What Is This Thing Called Love?,Cole Porter
My Mammy,William Frawley
Sing Something Simple,Ruth Tester
I'd Be Surprisingly Good For You,Julie Covington
To Each his Dulcinea,Cast of Man Of La Mancha
Ol' Man River,Paul Robeson
The Verdict,Cast of London Road
Gone With The Wind,Cast of Gone With The Wind
I Got Life,Cast of Hair
Springtime For Hitler,Mel Brooks
And I Am Telling You I'm Not Going,Jennifer Hudson
The Sun Has Got His Hat On,Cast of Me And My Girl
Whipped Into Shape,Cast of Legally Blonde
What You Want,Cast of Legally Blonde
Opening Night,Cast of The Producers
Be A Clown,Gene Kelly
The Surrey With The Fringe On Top,Cast of Oklahoma!
It's Quiet Uptown ,Kelly Clarkson
